Date,Storico
1850,-0.07250000000000001
1851,0.04583333333333334
1852,0.07500000000000001
1853,0.05416666666666667
1854,0.05833333333333335
1855,0.12000000000000001
1856,0.14250000000000002
1857,-0.02583333333333332
1858,0.019166666666666693
1859,0.12916666666666668
1860,0.009166666666666684
1861,-0.20166666666666666
1862,-0.1925
1863,0.013333333333333336
1864,-0.024166666666666642
1865,0.11583333333333334
1866,0.1275
1867,-0.0333333333333333
1868,-0.003333333333333327
1869,0.17500000000000002
1870,0.03916666666666668
1871,0.009999999999999981
1872,-0.017499999999999988
1873,-0.0383333333333333
1874,-0.04999999999999999
1875,0.02250000000000002
1876,-0.06833333333333336
1877,0.22416666666666668
1878,0.38416666666666666
1879,0.10666666666666667
1880,-0.024166666666666642
1881,0.12083333333333335
1882,0.12166666666666669
1883,0.010833333333333334
1884,-0.08083333333333331
1885,-0.13916666666666666
1886,-0.11083333333333334
1887,-0.22083333333333333
1888,0.01999999999999999
1889,0.25666666666666665
1890,-0.13916666666666666
1891,-0.0675
1892,-0.019166666666666637
1893,-0.19666666666666666
1894,-0.20083333333333336
1895,-0.0658333333333333
1896,0.04083333333333333
1897,0.10166666666666668
1898,-0.06916666666666665
1899,-0.04333333333333331
1900,0.1075
1901,0.10916666666666668
1902,0.010833333333333334
1903,-0.08250000000000002
1904,-0.29666666666666663
1905,-0.09250000000000003
1906,0.008333333333333331
1907,-0.15333333333333332
1908,-0.21666666666666667
1909,-0.29666666666666663
1910,-0.17083333333333334
1911,-0.30083333333333334
1912,-0.08583333333333332
1913,-0.17166666666666663
1914,0.04833333333333334
1915,0.1375
1916,-0.003333333333333327
1917,-0.305
1918,-0.19749999999999995
1919,0.021666666666666667
1920,-0.005833333333333329
1921,0.005000000000000032
1922,-0.05249999999999999
1923,-0.09999999999999998
1924,0.019166666666666693
1925,-0.08999999999999997
1926,0.21000000000000002
1927,-0.016666666666666663
1928,0.04833333333333334
1929,-0.15250000000000002
1930,0.008333333333333331
1931,0.12916666666666665
1932,0.1325
1933,-0.017499999999999988
1934,0.03416666666666668
1935,0.029166666666666702
1936,0.012500000000000011
1937,0.14916666666666667
1938,0.22333333333333336
1939,0.14333333333333334
1940,0.3408333333333333
1941,0.4216666666666667
1942,0.33333333333333337
1943,0.23333333333333334
1944,0.4675
1945,0.36083333333333334
1946,0.2275
1947,0.22166666666666668
1948,0.14666666666666667
1949,0.17750000000000002
1950,0.06583333333333333
1951,0.03916666666666668
1952,0.27666666666666667
1953,0.3375
1954,0.08416666666666668
1955,0.11333333333333334
1956,0.047500000000000014
1957,0.21416666666666667
1958,0.37333333333333335
1959,0.31666666666666665
1960,0.19666666666666668
1961,0.3191666666666667
1962,0.2775
1963,0.24666666666666667
1964,0.06583333333333333
1965,0.09750000000000002
1966,0.14750000000000002
1967,0.1691666666666667
1968,0.125
1969,0.24250000000000002
1970,0.3116666666666667
1971,0.13333333333333336
1972,0.17500000000000002
1973,0.475
1974,0.12083333333333333
1975,0.26916666666666667
1976,0.13166666666666665
1977,0.43583333333333335
1978,0.3258333333333333
1979,0.33166666666666667
1980,0.5575
1981,0.6058333333333333
1982,0.3375
1983,0.6008333333333333
1984,0.43500000000000005
1985,0.37416666666666665
1986,0.47583333333333333
1987,0.5283333333333333
1988,0.6708333333333334
1989,0.445
1990,0.67
1991,0.64
1992,0.5475
1993,0.5208333333333334
1994,0.4691666666666667
1995,0.7391666666666667
1996,0.5549999999999999
1997,0.6066666666666667
1998,0.8716666666666668
1999,0.6458333333333333
2000,0.64
2001,0.7075
2002,0.865
2003,0.8308333333333333
2004,0.7916666666666667
2005,0.9016666666666666
2006,0.8416666666666668
2007,0.9333333333333333
2008,0.6591666666666667
2009,0.8275000000000001
2010,0.99
2011,0.7958333333333334
2012,0.8016666666666667
2013,0.8583333333333334
2014,0.9375
2015,1.065
2016,1.3475
2017,1.1933333333333334
2018,1.0591666666666668
2019,1.1675
2020,1.2933333333333332
2021,1.0208333333333333
2022,1.12
2023,1.2566666666666666
2024,1.5133333333333334
