Scenario,1850,1900,1927,1952,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2008,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Storico,1200,1600,2000,2584.086339,3038.412766,3333.007049,3696.186306,4076.419207,4453.007478,4863.289935,5306.425154,5726.239315,6122.77022,6506.649175,6739.610289,6895.889018,7187.288,,,,,,,,,,,,,,,,,
Sviluppo sostenibile,,,,,,,,,,,,,,,,,7187.288,7494.114,7759.234,7975.8,8158.529,8300.438,8395.891,8442.113,8444.426,8405.459,8328.232,8215.05,8067.666,7887.361,7674.939,7435.104,7172.144,6888.07
Metà strada,,,,,,,,,,,,,,,,,7222.622,7588.881,7929.907,8239.713,8518.829,8765.707,8977.399,9149.44,9278.852,9366.818,9418.482,9438.821,9428.753,9389.453,9323.719,9236.87,9133.409,9016.52
Rivalità regionali,,,,,,,,,,,,,,,,,7246.604,7663.861,8077.474,8482.216,8863.206,9230.72,9590.441,9940.687,10267.778,10570.838,10855.459,11129.436,11398.122,11662.241,11922.861,12178.95,12432.592,12680.361
Diseguaglianza,,,,,,,,,,,,,,,,,7216.36,7577.385,7911.109,8212.176,8483.218,8725.091,8937.255,9116.412,9257.688,9361.058,9430.784,9472.872,9492.127,9490.344,9471.939,9439.447,9399.203,9351.417
Sviluppo basato sui combustibili fossili,,,,,,,,,,,,,,,,,7190.145,7502.807,7776.655,8005.125,8200.881,8357.737,8471.253,8539.66,8567.737,8557.742,8512.184,8433.198,8322.957,8183.076,8014.082,7820.072,7604.702,7369.689
